NCE (DensityRatio) Run 4 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
Loss: NCE = -E_Anti[f] + log E_Omega[exp f] | LR=0.0005 | EMA=0.999
DensityRatioNet: 274,433 params
Starting NCE training...

Epoch 031 | NCE: 12.5431 | f_anti: 1.153 | f_omega: -2.053 | Δf: 3.207 | Score(argmax): 0.2931 | Score(sweep): 0.3033 | LR: 0.000063 | No-improve: 12/30
Epoch 032 | NCE: 13.5145 | f_anti: 1.175 | f_omega: -2.188 | Δf: 3.363 | Score(argmax): 0.2930 | Score(sweep): 0.3033 | LR: 0.000063 | No-improve: 13/30
Epoch 033 | NCE: 14.4830 | f_anti: 1.172 | f_omega: -2.366 | Δf: 3.538 | Score(argmax): 0.2943 | Score(sweep): 0.3040 | LR: 0.000063 | No-improve: 14/30
Epoch 034 | NCE: 17.0009 | f_anti: 1.590 | f_omega: -2.340 | Δf: 3.929 | Score(argmax): 0.2937 | Score(sweep): 0.3057 | LR: 0.000063 | No-improve: 0/30
Epoch 035 | NCE: 16.2580 | f_anti: 1.551 | f_omega: -2.475 | Δf: 4.026 | Score(argmax): 0.2924 | Score(sweep): 0.3055 | LR: 0.000063 | No-improve: 0/30
Epoch 036 | NCE: 18.1037 | f_anti: 1.704 | f_omega: -2.542 | Δf: 4.246 | Score(argmax): 0.2915 | Score(sweep): 0.3042 | LR: 0.000063 | No-improve: 1/30
Epoch 037 | NCE: 18.5785 | f_anti: 1.713 | f_omega: -2.599 | Δf: 4.312 | Score(argmax): 0.2910 | Score(sweep): 0.3017 | LR: 0.000063 | No-improve: 2/30
Epoch 038 | NCE: 20.9204 | f_anti: 1.914 | f_omega: -2.545 | Δf: 4.459 | Score(argmax): 0.2892 | Score(sweep): 0.3012 | LR: 0.000063 | No-improve: 3/30
Epoch 039 | NCE: 19.1887 | f_anti: 1.988 | f_omega: -2.463 | Δf: 4.451 | Score(argmax): 0.2906 | Score(sweep): 0.3021 | LR: 0.000063 | No-improve: 4/30
Epoch 040 | NCE: 20.6837 | f_anti: 2.100 | f_omega: -2.501 | Δf: 4.601 | Score(argmax): 0.2904 | Score(sweep): 0.3036 | LR: 0.000031 | No-improve: 5/30
Epoch 041 | NCE: 18.8321 | f_anti: 2.303 | f_omega: -2.458 | Δf: 4.761 | Score(argmax): 0.2907 | Score(sweep): 0.3032 | LR: 0.000031 | No-improve: 6/30
Epoch 042 | NCE: 20.7697 | f_anti: 2.449 | f_omega: -2.575 | Δf: 5.024 | Score(argmax): 0.2895 | Score(sweep): 0.3050 | LR: 0.000031 | No-improve: 7/30
Epoch 043 | NCE: 22.0186 | f_anti: 2.572 | f_omega: -2.632 | Δf: 5.204 | Score(argmax): 0.2915 | Score(sweep): 0.3038 | LR: 0.000031 | No-improve: 8/30
Epoch 044 | NCE: 21.3804 | f_anti: 2.758 | f_omega: -2.597 | Δf: 5.354 | Score(argmax): 0.2916 | Score(sweep): 0.3051 | LR: 0.000031 | No-improve: 9/30
Epoch 045 | NCE: 21.4548 | f_anti: 2.517 | f_omega: -2.666 | Δf: 5.183 | Score(argmax): 0.2910 | Score(sweep): 0.3024 | LR: 0.000031 | No-improve: 10/30
Epoch 046 | NCE: 21.8600 | f_anti: 2.621 | f_omega: -2.791 | Δf: 5.412 | Score(argmax): 0.2913 | Score(sweep): 0.3026 | LR: 0.000016 | No-improve: 11/30
Epoch 047 | NCE: 21.7761 | f_anti: 2.541 | f_omega: -2.890 | Δf: 5.431 | Score(argmax): 0.2912 | Score(sweep): 0.3026 | LR: 0.000016 | No-improve: 12/30
Epoch 048 | NCE: 25.5847 | f_anti: 2.910 | f_omega: -2.849 | Δf: 5.759 | Score(argmax): 0.2916 | Score(sweep): 0.3030 | LR: 0.000016 | No-improve: 13/30
Epoch 049 | NCE: 23.4274 | f_anti: 3.096 | f_omega: -2.833 | Δf: 5.929 | Score(argmax): 0.2907 | Score(sweep): 0.3023 | LR: 0.000016 | No-improve: 14/30
Epoch 050 | NCE: 23.9732 | f_anti: 3.108 | f_omega: -2.827 | Δf: 5.935 | Score(argmax): 0.2901 | Score(sweep): 0.3036 | LR: 0.000016 | No-improve: 15/30
